Name,Link 1,Link 1.1,Country,Year,Director,Subtitles,Runtime,Genres,Imdb id,Vote avg,Overview,Spoken languages,Vote count,Release date,Tagline,Collection,Title,Original title
The Color Of Paradise,Streaming link,,Iran,1 999,Majid Majidi,yes,,,,,,,,,,,,
The Wind Will Carry Us,Streaming link,,Iran,1 999,Abbas Kiarostami,yes,1h 58m,Drama,IMDB,7.1,Irreverent city engineer Behzad comes to a rural village in Iran to keep vigil for a dying relative. In the meanwhile the film follows his efforts to fit in with the local community and how he changes his own attitudes as a result.,Persian,67,1999-09-06,,,The Wind Will Carry Us,باد ما را خواهد برد
The Silence,Streaming link,,Iran,1 998,Mohsen Makhmalbaf,yes,1h 31m,Drama | Fantasy | Horror | Thriller,IMDB,6.0,"With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.",Bosnian | English | Spanish,897,2019-05-16,They're listening.,,The Silence,The Silence
Leila,Streaming link,,Iran,1 997,Dariush Mehrjui,yes,,,IMDB,7.0,Directed by Atef E-Taieb.,Arabic,4,1994-01-02,,,A Hot Night,Leila Sakhina
Taste of Cherry,Streaming link,,Iran,1 997,Abbas Kiarostami,yes,1h 39m,Drama,IMDB,7.6,"A middle-aged Tehranian man, Mr. Badii is intent on killing himself and seeks someone to bury him after his demise. Driving around the city, the seemingly well-to-do Badii meets with numerous people, including a Muslim student, asking them to take on the job, but initially he has little luck. Eventually, Badii finds a man who is up for the task because he needs the money, but his new associate soon tries to talk him out of committing suicide.",Persian,232,1997-09-28,Searching for the Reason to Live,,Taste of Cherry,طعم گيلاس
The Mirror,Streaming link,,Iran,1 997,Jafar Panahi,yes,1h 45m,Crime | Mystery | Thriller,IMDB,6.1,Jane Marple solves the mystery when a local woman is poisoned and a visiting movie star seems to have been the intended victim.,English | German,112,1980-09-19,"Mirror, mirror on the wall, who is the murderer among them all?",,The Mirror Crack'd,The Mirror Crack'd
A Moment of Innocence,Streaming link,,Iran,1 996,Mohsen Makhmalbaf,yes,1h 18m,Drama,IMDB,7.8,"A semi-autobiographical account of Makhmalbaf's experience as a teenager when, as a 17-year-old, he stabbed a policeman at a protest rally. Two decades later, he tracks down the policeman he injured in an attempt to make amends.",Persian,53,1996-08-13,,,A Moment of Innocence,نون و گلدون
Gabbeh,Streaming link,,Iran,1 996,Mohsen Makhmalbaf,yes,1h 15m,Drama | Mystery | Romance,IMDB,6.7,"An elderly couple go about their routine of cleaning their gabbeh, while bickering gently with each other. Magically, a young woman appears, helping the two clean the rug. This young woman belongs to the clan whose history is depicted in the design of the gabbeh, and the rug recounts the story of the courtship of the young woman by a stranger from the clan.",Persian,30,1996-06-26,Life is Colour. Love is Colour.,,Gabbeh,گبه
The Father,Streaming link,,Iran,1 996,Majid Majidi,yes,1h 37m,Drama,IMDB,0.0,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",English,,2021-02-26,,,The Father,The Father
Salaam Cinema,Streaming link,,Iran,1 995,Mohsen Makhmalbaf,yes,1h 15m,Comedy | Documentary | Drama,IMDB,6.5,"Makhmalbaf puts an advertisement in the papers calling for an open casting for his next movie. However when hundreds of people show up, he decides to make a movie about the casting and the screen tests of the would-be actors.",Persian,23,1995-01-01,,,Salaam Cinema,سلام سینما
The White Balloon,Streaming link,,Iran,1 995,Jafar Panahi,yes,1h 25m,Drama,IMDB,7.8,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,Persian,52,1995-02-02,,,The White Balloon,بادکنک سفید
Through the Olive Trees,Streaming link,,Iran,1 994,Abbas Kiarostami,yes,1h 43m,Drama,IMDB,7.3,"The film focuses on one of the events in ""Life, and Nothing More..."" (1992), and explores the relationship between the film director, and the actors. The local actors play a couple who got married right after the earthquake. In reality, the actor is trying to persuade the actress that they should get married.",Persian,75,1994-02-01,,,Through the Olive Trees,زیر درختان زیتون
Life and Nothing More…,Streaming link,,Iran,1 992,Abbas Kiarostami,yes,,,,,,,,,,,,
Close-Up,Streaming link,,Iran,1 990,Abbas Kiarostami,yes,1h 16m,Crime | Drama | Thriller,IMDB,4.0,The lost film noir classic. A photographer accidently photgraphs a Nazi war criminal on the streets of New York and becomes a target for reprisals and murder.,English,2,1948-06-09,Thrill-a-minute close-up of MURDER!,,Close-Up,Close-Up
"Bashu, the Little Stranger",Streaming link,Streaming link,Iran,1 989,Bahram Beizai,yes,2h 0m,Drama | War,IMDB,7.4,"During the Iran-Iraq War, Bashu, a young boy loses his house and all his family. Scared, he sneaks into a truck that is leaving the area. He gets off the truck in the Northern part of the country, where everything from landscape to language is different. He meets Naii, who is trying to raise her two young children on a farm, while her husband is away. Despite cultural differences, and the fact that they do not speak the same language, Bashu and Naii slowly form a strong bond.",Arabic | Persian,15,1989-01-01,,,"Bashu, the Little Stranger",باشو غریبه کوچک
